772 oferecer           : 0.03
773 pouca              : 0.03
774 histórica          : 0.03
775 estendidas         : 0.03
776 homofônica         : 0.03
777 achatar            : 0.03
778 distribuição       : 0.03
779 essas              : 0.03
780 n                  : 0.03
781 grama              : 0.03
782 fornecer           : 0.03
783 Essencialmente     : 0.03
784 permaneceram       : 0.03
785 vulneráveis        : 0.03
786 ​​à                : 0.03
787 claramente         : 0.03
788 Leon               : 0.03
789 Battista           : 0.03
790 ano                : 0.03
791 embora             : 0.03
792 haja               : 0.03
793 indicação          : 0.03
794 já                 : 0.03
795 conhecida          : 0.03
796 Kindi              : 0.03
797 inovação           : 0.03
798 alfabetos          : 0.03
799 talvez             : 0.03
800 sucessiva          : 0.03
801 limite             : 0.03
802 Ele                : 0.03
803 inventou           : 0.03
804 provavelmente      : 0.03
805 dispositivo        : 0.03
806 cifrador           : 0.03
807 automático         : 0.03
808 roda               : 0.03
809 implementou        : 0.03
810 realização         : 0.03
811 parcial            : 0.03
812 sua                : 0.03
813 controla           : 0.03
814 dependendo         : 0.03
815 meados             : 0.03
816 Charles            : 0.03
817 Babbage            : 0.03
818 mostrou            : 0.03
819 vulnerável         : 0.03
820 exame              : 0.03
821 publicado          : 0.03
822 cerca              : 0.03
823 dez                : 0.03
824 depois             : 0.03
825 Friedrich          : 0.03
826 áreas              : 0.03
827 vem                : 0.03
828 robusta            : 0.03
829 avançados          : 0.03
830 evolui             : 0.03
831 cibernética        : 0.03
832 mundo              : 0.03
833 utilização         : 0.03
834 transmitidos       : 0.03
835 maneira            : 0.03
836 protegendo         : 0.03
837 acessos            : 0.03
838 longo              : 0.03
839 evoluiu            : 0.03
840 desde              : 0.03
841 hoje               : 0.03
842 Hoje               : 0.03
843 setores            : 0.03
844 Sistemas           : 0.03
845 empregados         : 0.03
846 bancárias          : 0.03
847 armazenamento      : 0.03
848 dispositivos       : 0.03
849 móveis             : 0.03
850 servidores         : 0.03
851 impedindo          : 0.03
852 interceptados      : 0.03
853 adulterados        : 0.03
854 durante            : 0.03
855 transmissão        : 0.03
856 amplamente         : 0.03
857 cenários           : 0.03
858 criptografar       : 0.03
859 descriptografar    : 0.03
860 Já                 : 0.03
861 utiliza            : 0.03
862 criptografados     : 0.03
863 descriptografados  : 0.03
864 útil               : 0.03
865 assinatura         : 0.03
866 estudar            : 0.03
867 conceitos          : 0.03
868 surgem             : 0.03
869 considerado        : 0.03
870 quando             : 0.03
871 parte              : 0.03
872 impossível         : 0.03
873 descobrir          : 0.03
874 Com                : 0.03
875 avanço             : 0.03
876 aumento            : 0.03
877 quantidade         : 0.03
878 crescer            : 0.03
879 indispensável      : 0.03
880 luta               : 0.03
881 hackers            : 0.03
882 agentes            : 0.03
883 maliciosos         : 0.03
884 realmente          : 0.03
885 devem              : 0.03
886 atualizados        : 0.03
887 regularmente       : 0.03
888 adaptando          : 0.03
889 novas              : 0.03
890 aproveitando       : 0.03
891 últimos            : 0.03
892 avanços            : 0.03
893 Porém              : 0.03
894 solução            : 0.03
895 mágica             : 0.03
896 está               : 0.03
897 manejo             : 0.03
898 Se                 : 0.03
899 for                : 0.03
900 comprometida       : 0.03
901 toda               : 0.03
902 proporcionada      : 0.03
903 destruída          : 0.03
904 revisados          : 0.03
905 testados           : 0.03
906 diante             : 0.03
907 atuais             : 0.03
908 sociedade          : 0.03
909 extrema            : 0.03
910 Sem                : 0.03
911 ela                : 0.03
912 muitas             : 0.03
913 usamos             : 0.03
914 dias               : 0.03
915 seriam             : 0.03
916 viáveis            : 0.03
917 Por                : 0.03
918 financeiras        : 0.03
919 pessoas            : 0.03
920 façam              : 0.03
921 compras            : 0.03
922 paguem             : 0.03
923 contas             : 0.03
924 sabendo            : 0.03
925 serviços           : 0.03
926 mails              : 0.03
927 enviadas           : 0.03
928 crucial            : 0.03
929 cumprimento        : 0.03
930 Regulamento        : 0.03
931 Geral              : 0.03
932 Proteção           : 0.03
933 GDPR               : 0.03
934 exige              : 0.03
935 empresas           : 0.03
936 adotem             : 0.03
937 medidas            : 0.03
938 caso               : 0.03
939 acessados          : 0.03
